sale_date,order_id,region,state,category,product,seller,channel,payment_status,quantity,unit_price,unit_cost
2024-03-04,PED-00323,Sul,RS,Computadores,Notebook Pro,Fernanda Costa,Loja física,Parcelado,3,5498.26,3904.87
2024-03-04,PED-00777,Nordeste,RN,Computadores,Desktop Business,Gustavo Rocha,Online,Parcelado,5,4436.64,3103.31
2024-03-05,PED-00587,Nordeste,CE,Serviços,Consultoria TI,Carla Souza,Online,Pago,2,1943.32,482.66
2024-03-06,PED-00011,Sudeste,ES,Infraestrutura,Firewall Appliance,Fernanda Costa,Parceiros,Pago,1,4989.03,3409.67
2024-03-06,PED-00017,Sudeste,RJ,Periféricos,Monitor 27,Ana Lima,Online,Pago,1,1512.72,949.78
2024-03-06,PED-01051,Sul,SC,Computadores,Notebook Pro,Gustavo Rocha,Online,Pago,1,5230.27,3890.89
2024-03-07,PED-01148,Sul,RS,Periféricos,Mouse Sem Fio,Carla Souza,Loja física,Parcelado,3,172.0,95.37
2024-03-08,PED-00550,Sudeste,ES,Serviços,Consultoria TI,Gustavo Rocha,Online,Parcelado,2,1836.54,492.59
2024-03-08,PED-01217,Nordeste,CE,Computadores,Desktop Business,Bruno Silva,Loja física,Pago,3,4443.71,3240.02
2024-03-09,PED-00209,Sul,PR,Serviços,Consultoria TI,Diego Santos,Loja física,Parcelado,1,1760.69,483.92
2024-03-09,PED-00248,Sudeste,SP,Computadores,Desktop Business,Gustavo Rocha,Loja física,Parcelado,1,4467.44,3131.81
2024-03-09,PED-00668,Sudeste,ES,Serviços,Suporte Remoto,Carla Souza,Parceiros,Pendente,2,475.02,122.73
2024-03-10,PED-00278,Sul,PR,Computadores,Notebook Pro,Fernanda Costa,Venda direta,Pendente,4,5277.84,3980.49
2024-03-10,PED-00916,Sudeste,SP,Periféricos,Mouse Sem Fio,Ana Lima,Online,Pago,3,187.5,92.67
2024-03-12,PED-00579,Sudeste,RJ,Serviços,Suporte Remoto,Diego Santos,Loja física,Parcelado,2,431.55,121.52
2024-03-13,PED-00018,Sudeste,MG,Serviços,Suporte Remoto,Fernanda Costa,Venda direta,Pago,1,470.45,125.23
2024-03-13,PED-00543,Sudeste,MG,Serviços,Suporte Remoto,Ana Lima,Online,Pendente,1,426.53,125.46
2024-03-13,PED-01061,Norte,RO,Computadores,Mini PC,Ana Lima,Online,Pago,4,3015.08,2025.98
2024-03-14,PED-00558,Centro-Oeste,GO,Serviços,Consultoria TI,Bruno Silva,Venda direta,Pendente,2,1945.44,488.05
2024-03-14,PED-01400,Centro-Oeste,MT,Periféricos,Teclado Mecânico,Ana Lima,Loja física,Pago,3,445.1,253.2
2024-03-15,PED-00402,Sudeste,SP,Infraestrutura,Access Point,Carla Souza,Parceiros,Pago,2,1024.83,624.87
2024-03-15,PED-00996,Sul,SC,Infraestrutura,Access Point,Ana Lima,Parceiros,Pago,3,941.73,615.43
2024-03-15,PED-01233,Sul,RS,Infraestrutura,Switch Gerenciável,Diego Santos,Online,Pendente,5,1843.72,1236.79
2024-03-16,PED-01094,Centro-Oeste,MT,Serviços,Implantação de Rede,Diego Santos,Loja física,Pago,2,2934.04,1103.53
2024-03-20,PED-00742,Sudeste,ES,Serviços,Implantação de Rede,Gustavo Rocha,Venda direta,Pendente,2,2893.02,1159.27
2024-03-21,PED-00369,Sudeste,ES,Computadores,Desktop Business,Gustavo Rocha,Online,Pago,4,4249.2,3367.85
2024-03-21,PED-01070,Sul,PR,Periféricos,Teclado Mecânico,Bruno Silva,Online,Pago,5,408.82,249.37
2024-03-22,PED-01079,Sudeste,MG,Computadores,Desktop Business,Carla Souza,Venda direta,Pago,2,4214.11,3311.77
2024-03-23,PED-00076,Sudeste,ES,Infraestrutura,Firewall Appliance,Gustavo Rocha,Online,Pago,3,4547.5,3445.84
2024-03-23,PED-00206,Centro-Oeste,GO,Infraestrutura,Access Point,Bruno Silva,Loja física,Pago,2,1061.65,619.6
2024-03-24,PED-00136,Sudeste,RJ,Infraestrutura,Switch Gerenciável,Ana Lima,Parceiros,Parcelado,4,1683.3,1233.47
2024-03-24,PED-00321,Sudeste,SP,Infraestrutura,Switch Gerenciável,Ana Lima,Venda direta,Pago,4,1771.89,1228.29
2024-03-24,PED-00773,Nordeste,BA,Periféricos,Mouse Sem Fio,Bruno Silva,Loja física,Pago,4,194.11,99.44
2024-03-24,PED-00966,Sudeste,ES,Serviços,Consultoria TI,Ana Lima,Online,Pendente,1,1868.19,493.64
2024-03-25,PED-00228,Sudeste,ES,Infraestrutura,Firewall Appliance,Bruno Silva,Loja física,Parcelado,1,5133.75,3664.13
2024-03-26,PED-00627,Sudeste,ES,Computadores,Mini PC,Fernanda Costa,Online,Pago,4,2719.06,2034.73
2024-03-27,PED-00688,Sudeste,RJ,Serviços,Implantação de Rede,Fernanda Costa,Loja física,Pago,1,2650.69,1062.51
2024-03-28,PED-01335,Nordeste,BA,Periféricos,Monitor 27,Bruno Silva,Online,Pago,5,1429.62,979.42
2024-03-29,PED-00576,Nordeste,PE,Serviços,Consultoria TI,Carla Souza,Parceiros,Pendente,1,1925.46,513.35
2024-03-30,PED-00616,Sul,PR,Infraestrutura,Access Point,Bruno Silva,Venda direta,Pago,1,947.58,603.86
2024-03-30,PED-00629,Sul,SC,Serviços,Implantação de Rede,Diego Santos,Venda direta,Pago,2,2706.99,1132.58
2024-03-31,PED-00127,Sudeste,SP,Periféricos,Teclado Mecânico,Carla Souza,Parceiros,Pago,5,420.02,242.74
2024-04-01,PED-01292,Sul,SC,Serviços,Implantação de Rede,Carla Souza,Loja física,Pago,2,2922.42,1076.13
2024-04-02,PED-00175,Norte,RO,Serviços,Suporte Remoto,Carla Souza,Venda direta,Parcelado,1,462.51,116.42
2024-04-02,PED-00682,Norte,PA,Infraestrutura,Access Point,Gustavo Rocha,Venda direta,Pago,2,1053.14,634.21
2024-04-03,PED-00078,Sudeste,ES,Infraestrutura,Switch Gerenciável,Gustavo Rocha,Venda direta,Pago,1,1866.28,1194.74
2024-04-03,PED-00822,Sul,PR,Computadores,Desktop Business,Ana Lima,Loja física,Pago,2,4478.04,3108.73
2024-04-03,PED-01301,Centro-Oeste,MT,Serviços,Consultoria TI,Bruno Silva,Parceiros,Pendente,1,1773.78,489.01
2024-04-04,PED-00300,Nordeste,CE,Computadores,Notebook Pro,Diego Santos,Venda direta,Pendente,4,4954.41,4092.78
2024-04-05,PED-00925,Sudeste,ES,Periféricos,Monitor 27,Bruno Silva,Parceiros,Pago,2,1487.51,1030.15
2024-04-09,PED-00344,Sudeste,MG,Periféricos,Mouse Sem Fio,Bruno Silva,Parceiros,Pendente,3,186.81,93.66
2024-04-09,PED-00971,Sul,RS,Periféricos,Teclado Mecânico,Bruno Silva,Parceiros,Pago,5,442.98,255.04
2024-04-09,PED-01041,Sul,PR,Serviços,Suporte Remoto,Carla Souza,Venda direta,Pendente,2,450.3,125.95
2024-04-10,PED-00741,Sul,SC,Serviços,Suporte Remoto,Diego Santos,Loja física,Pendente,1,429.48,125.54
2024-04-12,PED-00274,Sul,PR,Serviços,Implantação de Rede,Carla Souza,Online,Pago,2,2771.82,1076.26
2024-04-12,PED-00594,Nordeste,RN,Periféricos,Monitor 27,Ana Lima,Parceiros,Pendente,4,1387.66,947.09
2024-04-12,PED-00927,Centro-Oeste,GO,Computadores,Mini PC,Ana Lima,Online,Pago,1,2796.81,1983.65
2024-04-12,PED-01260,Centro-Oeste,GO,Periféricos,Mouse Sem Fio,Ana Lima,Venda direta,Pago,5,180.96,93.49
2024-04-13,PED-01236,Sul,RS,Computadores,Notebook Pro,Carla Souza,Loja física,Pago,5,5172.57,3790.92
2024-04-13,PED-01277,Nordeste,BA,Serviços,Implantação de Rede,Bruno Silva,Parceiros,Pendente,2,2899.97,1137.69
2024-04-14,PED-00339,Sul,RS,Infraestrutura,Firewall Appliance,Ana Lima,Venda direta,Pago,5,4950.81,3474.74
2024-04-15,PED-00129,Sul,PR,Periféricos,Mouse Sem Fio,Bruno Silva,Venda direta,Pendente,2,189.49,97.39
2024-04-15,PED-00143,Centro-Oeste,DF,Infraestrutura,Access Point,Bruno Silva,Venda direta,Pago,2,964.38,649.59
2024-04-15,PED-00156,Sul,RS,Infraestrutura,Switch Gerenciável,Gustavo Rocha,Venda direta,Pago,4,1803.4,1205.21
2024-04-15,PED-01003,Sul,PR,Computadores,Notebook Pro,Gustavo Rocha,Venda direta,Pago,1,5644.97,4070.63
2024-04-16,PED-00313,Norte,PA,Infraestrutura,Firewall Appliance,Bruno Silva,Online,Pago,1,4699.96,3691.47
2024-04-16,PED-00600,Centro-Oeste,GO,Periféricos,Monitor 27,Bruno Silva,Venda direta,Parcelado,4,1476.33,952.73
2024-04-16,PED-01397,Sudeste,MG,Periféricos,Mouse Sem Fio,Diego Santos,Online,Pago,2,187.56,98.52
2024-04-17,PED-00317,Sul,PR,Serviços,Suporte Remoto,Ana Lima,Parceiros,Parcelado,1,460.21,125.65
2024-04-17,PED-00785,Sudeste,SP,Serviços,Suporte Remoto,Diego Santos,Loja física,Pago,1,466.02,123.42
2024-04-19,PED-01224,Sul,PR,Infraestrutura,Firewall Appliance,Ana Lima,Venda direta,Pendente,4,5175.55,3568.06
2024-04-19,PED-01385,Nordeste,BA,Computadores,Notebook Pro,Diego Santos,Loja física,Pago,3,5598.55,3873.61
2024-04-20,PED-01160,Sudeste,MG,Serviços,Consultoria TI,Carla Souza,Loja física,Parcelado,1,1743.73,490.41
2024-04-21,PED-00552,Centro-Oeste,MS,Infraestrutura,Switch Gerenciável,Fernanda Costa,Online,Pago,1,1677.18,1247.68
2024-04-22,PED-00847,Sudeste,RJ,Periféricos,Monitor 27,Bruno Silva,Parceiros,Pendente,1,1524.32,1018.24
2024-04-23,PED-01226,Sudeste,SP,Infraestrutura,Firewall Appliance,Fernanda Costa,Parceiros,Parcelado,4,5096.33,3657.11
2024-04-24,PED-00012,Sudeste,RJ,Serviços,Suporte Remoto,Fernanda Costa,Online,Pago,2,487.13,124.17
2024-04-24,PED-01216,Norte,PA,Serviços,Suporte Remoto,Diego Santos,Loja física,Pago,2,482.16,121.43
2024-04-25,PED-00701,Nordeste,PE,Computadores,Desktop Business,Bruno Silva,Parceiros,Parcelado,1,4189.64,3172.75
2024-04-25,PED-01109,Norte,AM,Serviços,Implantação de Rede,Bruno Silva,Venda direta,Pago,2,2745.35,1104.65
2024-04-26,PED-00357,Nordeste,RN,Periféricos,Mouse Sem Fio,Bruno Silva,Parceiros,Pendente,2,189.94,98.9
2024-04-26,PED-00372,Sul,RS,Periféricos,Monitor 27,Carla Souza,Parceiros,Pago,3,1443.7,1002.67
2024-04-27,PED-00990,Nordeste,BA,Infraestrutura,Access Point,Bruno Silva,Parceiros,Pago,2,938.24,637.59
2024-04-28,PED-00103,Sul,RS,Periféricos,Teclado Mecânico,Gustavo Rocha,Venda direta,Parcelado,4,419.12,262.93
2024-04-29,PED-00722,Sudeste,MG,Serviços,Consultoria TI,Bruno Silva,Venda direta,Pago,2,1707.43,495.92
2024-04-30,PED-00521,Nordeste,PE,Computadores,Mini PC,Diego Santos,Online,Parcelado,3,2652.61,2072.17
2024-05-01,PED-00644,Nordeste,BA,Computadores,Desktop Business,Fernanda Costa,Loja física,Parcelado,1,4532.21,3323.7
2024-05-01,PED-00791,Sul,PR,Periféricos,Monitor 27,Fernanda Costa,Venda direta,Pago,5,1451.29,981.6
2024-05-02,PED-00386,Sudeste,ES,Infraestrutura,Firewall Appliance,Carla Souza,Online,Pago,3,4636.2,3572.31
2024-05-02,PED-01387,Sudeste,MG,Serviços,Suporte Remoto,Gustavo Rocha,Online,Pendente,1,484.77,124.22
2024-05-03,PED-00592,Norte,RO,Periféricos,Teclado Mecânico,Carla Souza,Online,Pago,2,443.25,255.37
2024-05-03,PED-00707,Sudeste,ES,Infraestrutura,Firewall Appliance,Carla Souza,Loja física,Pendente,5,4637.03,3598.2
2024-05-03,PED-00824,Sul,PR,Infraestrutura,Switch Gerenciável,Ana Lima,Venda direta,Pago,2,1661.86,1232.41
2024-05-04,PED-01344,Sul,PR,Periféricos,Mouse Sem Fio,Ana Lima,Online,Pendente,1,175.27,98.12
2024-05-06,PED-00899,Nordeste,BA,Periféricos,Mouse Sem Fio,Carla Souza,Parceiros,Pendente,3,176.3,95.34
2024-05-06,PED-00930,Sul,PR,Computadores,Mini PC,Diego Santos,Loja física,Pago,3,2693.58,2148.6
2024-05-06,PED-00958,Norte,AM,Computadores,Desktop Business,Gustavo Rocha,Loja física,Pendente,3,4317.63,3345.37
2024-05-07,PED-00154,Nordeste,RN,Serviços,Consultoria TI,Bruno Silva,Venda direta,Pendente,2,1932.79,501.38
2024-05-08,PED-01037,Sudeste,SP,Serviços,Consultoria TI,Carla Souza,Online,Pago,2,1918.71,487.68
2024-05-09,PED-00566,Sudeste,MG,Infraestrutura,Access Point,Ana Lima,Online,Parcelado,5,967.43,648.21
2024-05-09,PED-01092,Nordeste,RN,Computadores,Mini PC,Fernanda Costa,Venda direta,Pendente,2,3044.21,2008.36
2024-05-10,PED-00915,Sul,RS,Infraestrutura,Firewall Appliance,Gustavo Rocha,Online,Pendente,3,5154.29,3529.28
2024-05-10,PED-01313,Sudeste,SP,Serviços,Implantação de Rede,Diego Santos,Loja física,Pago,1,2697.08,1068.24
2024-05-10,PED-01362,Norte,RO,Periféricos,Mouse Sem Fio,Bruno Silva,Venda direta,Parcelado,5,186.03,98.94
2024-05-11,PED-00642,Nordeste,PE,Periféricos,Teclado Mecânico,Diego Santos,Online,Pago,2,410.4,264.17
2024-05-11,PED-01170,Sudeste,ES,Serviços,Suporte Remoto,Diego Santos,Online,Pago,2,467.9,123.42
2024-05-12,PED-00351,Sul,RS,Infraestrutura,Access Point,Carla Souza,Venda direta,Parcelado,1,1042.51,616.73
2024-05-12,PED-00725,Sul,PR,Serviços,Suporte Remoto,Bruno Silva,Loja física,Parcelado,2,486.27,121.5
2024-05-14,PED-00081,Nordeste,RN,Serviços,Suporte Remoto,Bruno Silva,Loja física,Pago,1,488.18,122.75
2024-05-14,PED-00868,Sudeste,SP,Infraestrutura,Switch Gerenciável,Diego Santos,Parceiros,Pago,2,1800.69,1209.32
2024-05-14,PED-01106,Sul,PR,Periféricos,Monitor 27,Bruno Silva,Loja física,Pago,4,1387.67,997.91
2024-05-15,PED-01211,Sudeste,SP,Periféricos,Monitor 27,Diego Santos,Online,Parcelado,2,1493.75,1000.0
2024-05-18,PED-00507,Sudeste,RJ,Periféricos,Teclado Mecânico,Ana Lima,Loja física,Pago,1,430.99,263.43
2024-05-20,PED-00303,Sudeste,RJ,Computadores,Desktop Business,Carla Souza,Parceiros,Pendente,3,4365.42,3323.43
2024-05-20,PED-01105,Sudeste,RJ,Periféricos,Teclado Mecânico,Gustavo Rocha,Venda direta,Pago,4,406.93,260.38
2024-05-22,PED-00557,Sul,SC,Infraestrutura,Switch Gerenciável,Bruno Silva,Loja física,Pago,2,1729.4,1256.23
2024-05-22,PED-01033,Centro-Oeste,GO,Infraestrutura,Access Point,Ana Lima,Parceiros,Parcelado,4,1005.23,616.9
2024-05-23,PED-01228,Nordeste,BA,Infraestrutura,Switch Gerenciável,Carla Souza,Venda direta,Pago,4,1842.71,1184.6
2024-05-24,PED-01243,Nordeste,PE,Computadores,Notebook Pro,Ana Lima,Online,Parcelado,5,5041.4,4019.87
